[2026-03-03 00:35:16] Population: 2 | Energy Pool: 9
[2026-03-03 00:35:26] Population: 2 | Energy Pool: 16
[2026-03-03 00:35:36] Population: 2 | Energy Pool: 22
[2026-03-03 00:35:46] Population: 2 | Energy Pool: 28
[2026-03-03 00:35:56] Population: 2 | Energy Pool: 35
[2026-03-03 00:36:06] Population: 3 | Energy Pool: 44
[2026-03-03 00:36:17] Population: 5 | Energy Pool: 46
[2026-03-03 00:36:27] Population: 8 | Energy Pool: 32
[2026-03-03 00:36:37] Population: 8 | Energy Pool: 6
[2026-03-03 00:36:48] Population: 4 | Energy Pool: 0
[2026-03-03 00:36:58] Population: 3 | Energy Pool: 0
[2026-03-03 00:37:08] Population: 3 | Energy Pool: 2
[2026-03-03 00:37:18] Population: 3 | Energy Pool: 4
[2026-03-03 00:37:29] Population: 3 | Energy Pool: 5
[2026-03-03 00:37:39] Population: 3 | Energy Pool: 5
[2026-03-03 00:37:49] Population: 3 | Energy Pool: 4
[2026-03-03 00:37:59] Population: 3 | Energy Pool: 2
[2026-03-03 00:38:09] Population: 3 | Energy Pool: 1
[2026-03-03 00:38:20] Population: 3 | Energy Pool: 1
[2026-03-03 00:38:30] Population: 3 | Energy Pool: 1
[2026-03-03 00:38:40] Population: 3 | Energy Pool: 2
[2026-03-03 00:38:50] Population: 2 | Energy Pool: 8
[2026-03-03 00:39:00] Population: 2 | Energy Pool: 15
[2026-03-03 00:39:10] Population: 2 | Energy Pool: 21
[2026-03-03 00:39:20] Population: 2 | Energy Pool: 27
[2026-03-03 00:39:31] Population: 2 | Energy Pool: 32
[2026-03-03 00:39:41] Population: 2 | Energy Pool: 39
[2026-03-03 00:39:51] Population: 3 | Energy Pool: 46
[2026-03-03 00:40:01] Population: 5 | Energy Pool: 46
[2026-03-03 00:40:11] Population: 7 | Energy Pool: 27
[2026-03-03 00:40:22] Population: 6 | Energy Pool: 2
[2026-03-03 00:40:32] Population: 3 | Energy Pool: 5
[2026-03-03 00:40:42] Population: 3 | Energy Pool: 12
[2026-03-03 00:40:53] Population: 3 | Energy Pool: 18
[2026-03-03 00:41:03] Population: 3 | Energy Pool: 26
[2026-03-03 00:41:13] Population: 3 | Energy Pool: 32
[2026-03-03 00:41:23] Population: 4 | Energy Pool: 38
[2026-03-03 00:41:33] Population: 6 | Energy Pool: 35
[2026-03-03 00:41:44] Population: 8 | Energy Pool: 17
[2026-03-03 00:41:54] Population: 6 | Energy Pool: 0
[2026-03-03 00:42:04] Population: 4 | Energy Pool: 2
[2026-03-03 00:42:15] Population: 4 | Energy Pool: 6
[2026-03-03 00:42:25] Population: 4 | Energy Pool: 12
[2026-03-03 00:42:35] Population: 4 | Energy Pool: 20
[2026-03-03 00:42:45] Population: 4 | Energy Pool: 30
[2026-03-03 00:42:56] Population: 5 | Energy Pool: 40
[2026-03-03 00:43:06] Population: 8 | Energy Pool: 47
[2026-03-03 00:43:16] Population: 11 | Energy Pool: 33
[2026-03-03 00:43:27] Population: 13 | Energy Pool: 2
[2026-03-03 00:43:38] Population: 7 | Energy Pool: 0
[2026-03-03 00:43:48] Population: 6 | Energy Pool: 4
[2026-03-03 00:43:58] Population: 6 | Energy Pool: 6
[2026-03-03 00:44:09] Population: 6 | Energy Pool: 11
[2026-03-03 00:44:19] Population: 6 | Energy Pool: 16
[2026-03-03 00:44:29] Population: 6 | Energy Pool: 20
[2026-03-03 00:44:40] Population: 6 | Energy Pool: 22
[2026-03-03 00:44:50] Population: 6 | Energy Pool: 24
[2026-03-03 00:45:00] Population: 6 | Energy Pool: 24
[2026-03-03 00:45:11] Population: 6 | Energy Pool: 23
[2026-03-03 00:45:21] Population: 6 | Energy Pool: 22
[2026-03-03 00:45:31] Population: 6 | Energy Pool: 22
[2026-03-03 00:45:42] Population: 6 | Energy Pool: 22
[2026-03-03 00:45:52] Population: 6 | Energy Pool: 23
[2026-03-03 00:46:02] Population: 6 | Energy Pool: 22
[2026-03-03 00:46:13] Population: 6 | Energy Pool: 21
[2026-03-03 00:46:23] Population: 6 | Energy Pool: 22
[2026-03-03 00:46:33] Population: 6 | Energy Pool: 21
[2026-03-03 00:46:44] Population: 6 | Energy Pool: 22
[2026-03-03 00:46:54] Population: 6 | Energy Pool: 24
[2026-03-03 00:47:04] Population: 7 | Energy Pool: 28
[2026-03-03 00:47:15] Population: 8 | Energy Pool: 29
[2026-03-03 00:47:25] Population: 9 | Energy Pool: 26
[2026-03-03 00:47:36] Population: 11 | Energy Pool: 16
[2026-03-03 00:47:46] Population: 11 | Energy Pool: 3
[2026-03-03 00:47:57] Population: 7 | Energy Pool: 0
[2026-03-03 00:48:07] Population: 6 | Energy Pool: 0
[2026-03-03 00:48:18] Population: 6 | Energy Pool: 1
[2026-03-03 00:48:28] Population: 6 | Energy Pool: 4
[2026-03-03 00:48:38] Population: 6 | Energy Pool: 5
[2026-03-03 00:48:49] Population: 6 | Energy Pool: 6
[2026-03-03 00:48:59] Population: 6 | Energy Pool: 8
[2026-03-03 00:49:09] Population: 6 | Energy Pool: 10
[2026-03-03 00:49:20] Population: 6 | Energy Pool: 8
[2026-03-03 00:49:30] Population: 6 | Energy Pool: 9
[2026-03-03 00:49:40] Population: 6 | Energy Pool: 7
[2026-03-03 00:49:51] Population: 6 | Energy Pool: 4
[2026-03-03 00:50:01] Population: 6 | Energy Pool: 2
[2026-03-03 00:50:11] Population: 5 | Energy Pool: 8
[2026-03-03 00:50:21] Population: 5 | Energy Pool: 9
[2026-03-03 00:50:32] Population: 5 | Energy Pool: 9
[2026-03-03 00:50:42] Population: 5 | Energy Pool: 11
[2026-03-03 00:50:52] Population: 5 | Energy Pool: 11
[2026-03-03 00:51:03] Population: 5 | Energy Pool: 9
[2026-03-03 00:51:13] Population: 5 | Energy Pool: 7
[2026-03-03 00:51:23] Population: 5 | Energy Pool: 5
[2026-03-03 00:51:33] Population: 5 | Energy Pool: 1
[2026-03-03 00:51:44] Population: 4 | Energy Pool: 6
[2026-03-03 00:51:54] Population: 4 | Energy Pool: 11
[2026-03-03 00:52:04] Population: 4 | Energy Pool: 16
[2026-03-03 00:52:14] Population: 4 | Energy Pool: 18
[2026-03-03 00:52:25] Population: 4 | Energy Pool: 21
[2026-03-03 00:52:35] Population: 4 | Energy Pool: 26
[2026-03-03 00:52:45] Population: 4 | Energy Pool: 33
[2026-03-03 00:52:55] Population: 5 | Energy Pool: 38
[2026-03-03 00:53:06] Population: 7 | Energy Pool: 40
[2026-03-03 00:53:16] Population: 10 | Energy Pool: 30
[2026-03-03 00:53:27] Population: 10 | Energy Pool: 6
[2026-03-03 00:53:37] Population: 7 | Energy Pool: 0
[2026-03-03 00:53:47] Population: 5 | Energy Pool: 2
[2026-03-03 00:53:58] Population: 5 | Energy Pool: 5
[2026-03-03 00:54:08] Population: 5 | Energy Pool: 7
[2026-03-03 00:54:18] Population: 5 | Energy Pool: 9
[2026-03-03 00:54:29] Population: 5 | Energy Pool: 10
[2026-03-03 00:54:39] Population: 5 | Energy Pool: 7
