[2026-03-03 02:55:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:55:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:56:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:57:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:58:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 02:59:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:00:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:01:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:02:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:03:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:04:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:05:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:06:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:07:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:08:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:11] Altruists (Green): 19 | Selfish (Red): 17
